username,category,engagement_rate,alignment_genZ
ashleyhawmakeup,beauty,0.05,0
angelabright,beauty,0.06,0
beauty_by_elley,beauty,0.041,0
beautybygracexoxo,beauty,0.054,0
kobra_mua,beauty,0.021,0
andeedoll,beauty,0.021,1
rylikethebread,beauty,0.018,0
briannabissonmakeup,beauty,0.127,1
christinahortet,beauty,0.028,1
wildroseartistry,beauty,0.103,1
missthalia21,beauty,0.037,0
emilie_bruun,beauty,0.053,1
zodieac,beauty,0.056,0
adila_makeup,beauty,0.059,0
iikonn,beauty,0.04,1
revlon_uk,beauty,0.054,0
lilybetzabee,beauty,0.017,1
sativadoesmakeup,beauty,0.063,0
nyxcosmetics,beauty,0.004,1
jeje.cosme,beauty,0.022,0
rachellediamond,beauty,0.013,0
mua_myesha,beauty,0.02,1
mrsannabradshaw,beauty,0.024,0
fernandalealmake,beauty,0.071,0
hair_flair_extensions,beauty,0.03,1
chuaahh,beauty,0.013,0
lpbeautyblog,beauty,0.019,0
rosegold_beautyx,beauty,0.022,1
jaynicxoxo,beauty,0.133,0
rija_imran,beauty,0.065,0
ericabmccleskey,beauty,0.025,0
saradamonte,beauty,0.034,0
daniellemarie.mua,beauty,0.018,0
myvisionbeauty,beauty,0.102,1
taritabeauty,beauty,0.039,0
eyelive4beauty,beauty,0.054,1
sicilia.freefight.deserteagle,beauty,0.144,1
kaysalbeautyxo,beauty,0.038,0
laurieprisca,beauty,0.021,0
theresehoff,beauty,0.06,1
aaqshah,beauty,0.147,0
undiscovered_muas,beauty,0.01,0
stephleemakeup,beauty,0.022,0
civrie,beauty,0.046,1
malacusle,beauty,0.031,1
baniru_2,beauty,0.023,1
glam.glimmers,beauty,0.067,1
hairbycourtneyd,beauty,0.016,1
styleme.b,beauty,0.014,1
gabiferreiramake,beauty,0.021,0
gemmabarrettmua,beauty,0.03,1
emilianummelin,beauty,0.047,0
ifancycupcakes,beauty,0.061,0
lavieencosmetiques,beauty,0.032,0
hairbyfranco,beauty,0.049,1
mrdanielmakeup,beauty,0.04,0
guyannescissorhands,beauty,0.023,0
simplyslayed_,beauty,0.063,1
domlanae,beauty,0.064,1
prettylillyd,beauty,0.027,1
sn0ok,beauty,0.062,0
simaiamakeup,beauty,0.029,1
alwayscleia,beauty,0.018,1
makeup_brunette_beauty,beauty,0.023,0
primpandprimebeauty,beauty,0.054,0
chxrming,beauty,0.028,1
ooh.mee,beauty,0.034,0
ashleykaylamakeup,beauty,0.06,1
hayleynoellexo,beauty,0.046,1
lucyllamakeup,beauty,0.031,1
hey_itsbeautiful,beauty,0.031,1
sarbearmua,beauty,0.055,1
amandaepsteinhair,beauty,0.019,0
horvattamara,beauty,0.011,1
minimualist,beauty,0.029,1
michaelabachmann,beauty,0.011,1
maria_alsabah,beauty,0.031,0
andrearenee00,beauty,0.055,0
katiejanehughes,beauty,0.07,1
hyowoony,beauty,0.046,1
denitslava,beauty,0.109,0
melaninbeautiesunite,beauty,0.032,0
rebeccamolloymakeup,beauty,0.018,1
bernardinelliclaudia,beauty,0.051,1
alexingamua,beauty,0.062,0
lindsaysgotglam,beauty,0.035,1
learningnaturalhair,beauty,0.056,1
stjohnnnn,beauty,0.059,0
brushinarushbyjr,beauty,0.018,1
makeup_with_nessa,beauty,0.037,1
_bubsbee,beauty,0.038,1
nikkii_makeup,beauty,0.03,1
anubismakeup,beauty,0.014,1
cosmobyhaley,beauty,0.026,1
joos_makeup,beauty,0.028,0
letreirofeminino,beauty,0.024,0
beatyafaceduo,beauty,0.039,1
_lahrin_,beauty,0.047,1
inspobyelvirall,beauty,0.041,1
flawdecaybeauty,beauty,0.04,0
blonde25,beauty,0.065,0
megfeather,beauty,0.015,0
brooke.ellis_,beauty,0.034,1
lola_von_esche,beauty,0.066,1
lovleesazy,beauty,0.018,0
hairbysaretta,beauty,0.039,0
loveevelyn13,beauty,0.063,0
marianamaldona2,beauty,0.057,0
hair.by.adam,beauty,0.056,0
ashghotcakess,beauty,0.065,1
courteney_mua,beauty,0.042,1
lovemascara,beauty,0.058,0
tanyatomamua,beauty,0.042,1
pinkyboicourt,beauty,0.029,1
nadabeauty78,beauty,0.144,0
katsketch,beauty,0.02,0
cherie_flavor,beauty,0.048,0
jessicamakems,beauty,0.062,0
briciaemilyn,beauty,0.034,1
sofisticatamentedonna,beauty,0.061,1
quemdisseberenice,beauty,0.05,0
aura_glitz,beauty,0.05,0
belle_of_the_ball_beauty83,beauty,0.017,0
mikaatbhc,beauty,0.067,0
angelalamarie_,beauty,0.064,1
shelleygregoryhair,beauty,0.068,1
katesbeautystation,beauty,0.018,0
jordrivera_,beauty,0.025,1
ellasdaily,beauty,0.067,1
kimberleymargarita_,beauty,0.02,1
kariiahlg,beauty,0.044,1
youngberrygram,beauty,0.039,0
mystiicx_makeup,beauty,0.019,0
ckck_banban,beauty,0.059,1
vaeiolet,beauty,0.055,0
me_salon,beauty,0.034,1
alessaberry,beauty,0.012,0
beautybyjulia,beauty,0.017,1
abyxo,beauty,0.058,1
dailybaileyb,beauty,0.058,1
araako,beauty,0.02,0
xoalexandram,beauty,0.055,1
dreamybeautybar,beauty,0.038,0
naturallybeautifulgirl,beauty,0.02,0
hanahana1214,beauty,0.064,1
lou.von.bright,beauty,0.035,1
makeupbyrosec,beauty,0.024,0
makeupbymisskris,beauty,0.031,1
extensionbarla,beauty,0.026,0
omayramontes,beauty,0.03,0
makeupbycherylh,beauty,0.018,0
lyds_makeup,beauty,0.034,1
dollface_glamour,beauty,0.02,1
acoloradohairstylist,beauty,0.063,1
nailstorming,beauty,0.012,1
graceonyourdash,beauty,0.015,0
verdebio,beauty,0.018,0
jadeywadey180,beauty,0.044,0
thebeyoutybureau,beauty,0.019,0
makeupbyjalesse,beauty,0.024,1
ellycatt,beauty,0.028,1
glamourqueen_mua,beauty,0.014,1
gotymakeup3,beauty,0.023,1
mollypopsofcolor,beauty,0.043,1
nickeilgenesis,beauty,0.024,0
luckyones07,beauty,0.041,0
1208_sj,beauty,0.047,1
rosy_soo,beauty,0.046,1
harmonysouthway,beauty,0.042,0
laura_mkp,beauty,0.036,0
basic_gaia,beauty,0.025,0
beautyfashlaw,beauty,0.066,0
kilennyk,beauty,0.061,0
lovinggirlylife,beauty,0.038,1
carlayneclover,beauty,0.013,0
thelittlemua,beauty,0.056,0
emily_snips,beauty,0.012,0
katieamerrick,beauty,0.068,1
minute._.2,beauty,0.07,0
khloedosh,beauty,0.016,0
nikolekristinehair,beauty,0.02,1
makeupbyalinna,beauty,0.06,1
casslevinehair,beauty,0.067,0
maryamremias,beauty,0.059,1
andriellyneri,beauty,0.027,1
amieyoungmua,beauty,0.039,1
lolaliner,beauty,0.021,0
hairmakeupbyanna,beauty,0.097,0
braided_to_infinity,beauty,0.136,0
tineballeteam_hairstudio,beauty,0.031,0
vannedoesit,beauty,0.06,0
brutavaresppf,beauty,0.045,1
secrets.of.makeup,beauty,0.027,0
raphaelamua,beauty,0.059,1
nataliesandqvist,beauty,0.051,0
hair.by.cara,beauty,0.015,1
bellacobian,beauty,0.038,0
smokeylily,beauty,0.044,0
bonnys_wonderland,beauty,0.063,1
zachmesquit,beauty,0.059,0
mirellamanelli,beauty,0.01,0
roseandben,beauty,0.025,0
turquoisetrouble,beauty,0.052,0
kirstyrowlands.makeup,beauty,0.01,0
makeupbytammi,beauty,0.05,0
safai305,beauty,0.013,1
tianacosmetics,beauty,0.036,1
kesulatko_makeup,beauty,0.014,1
captureyesstudio,beauty,0.017,1
marchbeautyword,beauty,0.028,0
special.koko,beauty,0.089,1
bilbo_park,beauty,0.026,1
ilinca.munteanu,beauty,0.046,0
ryanbpotter,beauty,0.054,1
glamoureal,beauty,0.068,1
mmaiohmmai,beauty,0.026,0
makeupl0verr,beauty,0.011,0
theblondemann,beauty,0.016,1
rachleary,beauty,0.025,0
lepetitbeirut,beauty,0.034,0
johannaherrstedt,beauty,0.034,1
ashleyswagnerxo,beauty,0.02,1
amythemermaidx,beauty,0.028,1
sarahshithappens,beauty,0.044,0
shaylasouliere,beauty,0.054,0
bymorgantyler,beauty,0.058,0
taesface,beauty,0.048,0
alanaahewitt,beauty,0.06,1
captaingabex,beauty,0.025,1
patryyciah,beauty,0.054,1
deneandale,beauty,0.042,1
pompberry,beauty,0.012,0
jasmineregmi,beauty,0.088,0
venessaluciano,beauty,0.128,0
hairwitchery,beauty,0.064,0
verolover,beauty,0.015,0
carollago,beauty,0.038,0
graceful_knots,beauty,0.062,1
irisbeilin,beauty,0.025,0
thevinfx,beauty,0.02,1
queenofluna,beauty,0.068,1
glambyshelby,beauty,0.065,0
cherylpandemonium,beauty,0.022,0
chloezadori,beauty,0.047,0
theresahuaroto,beauty,0.042,1
vianneyleigh_makeup,beauty,0.059,0
shekinahstudio,beauty,0.054,0
beautyxgabrielle,beauty,0.025,0
studioveronaa,beauty,0.012,0
chinabell,beauty,0.022,1
vanjajagnic,beauty,0.038,0
hairstylistof_la,beauty,0.044,1
ewalkk,beauty,0.053,1
sharmkup,beauty,0.06,1
nicolesmakeup_,beauty,0.024,0
_chloemorton,beauty,0.036,0
mandiglitter,beauty,0.056,0
skye.lw,beauty,0.014,1
lady_end,beauty,0.059,1
themisschriss,beauty,0.036,1
trophdoph,beauty,0.044,1
lindseystarbies,beauty,0.041,0
brownhairedbliss,beauty,0.013,1
girinbt,beauty,0.05,1
lyanna_mua,beauty,0.037,0
melraesegal,beauty,0.035,1
mrtndamex,beauty,0.017,0
urbandecaycosmetics,beauty,0.069,1
a1delatorre,beauty,0.018,1
miik3y_starr,beauty,0.013,0
tonya_stylz,beauty,0.033,1
_kelsxo_,beauty,0.053,0
beautybykiim,beauty,0.017,1
sylwiaperri,beauty,0.044,0
malvikasitlaniofficial,beauty,0.081,1
cpresso,beauty,0.055,1
vilcreates,beauty,0.031,1
shelbytriglia,beauty,0.022,0
barbara_makeup_2690,beauty,0.053,1
pigeon_pie_art,beauty,0.019,0
hazelmaven,beauty,0.016,1
susannebarnekow,beauty,0.066,1
mscatrin,beauty,0.066,0
laurawhittlemua,beauty,0.031,0
itstessymuller,beauty,0.055,0
pennold,beauty,0.058,1
iheart_sarahy,beauty,0.056,0
claudiaschonhofen,beauty,0.027,0
pourmwabeauty,beauty,0.016,1
ivykungu,beauty,0.03,0
angydrops,beauty,0.025,0
viva_glam_kay,beauty,0.147,0
makeupbydivadoll,beauty,0.042,1
meung.e,beauty,0.046,1
laurensrevenge,beauty,0.044,0
lindyvera1,beauty,0.064,0
vanespada,beauty,0.048,0
glitterandshimmer,beauty,0.059,1
zabrenaxo,beauty,0.081,1
mixnblendbeauty,beauty,0.044,1
royailmaz0,beauty,0.043,1
thaciaevellin,beauty,0.116,1
lavishlybritt,beauty,0.06,0
nboutique.ae,beauty,0.066,0
fcaligaris,beauty,0.028,1
sylvialovesthemakeup,beauty,0.112,0
lauramakeup90,beauty,0.058,0
helinoftroy,beauty,0.021,1
yackievds,beauty,0.058,0
studionnsd,beauty,0.056,0
jreneejrenee,beauty,0.036,1
tavujesus,beauty,0.011,1
alyscasella,beauty,0.05,0
wesleybenjamincarter,beauty,0.029,1
vicmram,beauty,0.021,0
beautybyrosita,beauty,0.041,0
nikkiperkins_mua,beauty,0.031,0
wonderlandxabri_,beauty,0.01,1
katieguevarra,beauty,0.07,0
pamelajuicymakeup,beauty,0.016,1
amandapastoree,beauty,0.018,1
makeup___meow,beauty,0.057,1
neworleansnaturalhairexpo,beauty,0.066,0
kourtneydee,beauty,0.013,1
aminaali_mua,beauty,0.064,0
tanyacheban,beauty,0.027,0
ksmmakeup,beauty,0.036,0
fashionicide,beauty,0.045,1
ellinoramanda,beauty,0.028,0
juanmacativa,beauty,0.046,0
makeupbymanug,beauty,0.067,0
woongrami,beauty,0.044,0
betagolchin,beauty,0.027,1
richelle.beauty,beauty,0.012,0
beautifulyouliverpool,beauty,0.014,0
beautybymarlika,beauty,0.147,0
karlapatriciamakeup,beauty,0.054,1
_aubreanascurlss,beauty,0.016,1
ulovemegz,beauty,0.05,0
kassinka,beauty,0.044,1
mi3na70925,beauty,0.04,0
laleelove90,beauty,0.042,1
hamza.hairdresser,beauty,0.034,0
thekriksters,beauty,0.05,0
itscaseyjoe,beauty,0.026,0
themegscahill,beauty,0.036,1
peachyqueenblog,beauty,0.047,1
larisadoll,beauty,0.033,0
lisatran.beauty,beauty,0.048,0
theboldbre,beauty,0.07,1
thebeautybible.ie,beauty,0.058,0
jacenbowman,beauty,0.042,0
allieballiemakeup,beauty,0.011,1
littlecoconut,beauty,0.018,0
the_stylebb,beauty,0.055,0
serenitybeautyyy,beauty,0.141,0
karina_waldron,beauty,0.066,1
sabrinaxmakeup,beauty,0.029,1
flatbushzombae,beauty,0.049,1
cybelesays,beauty,0.036,1
tammysloty,beauty,0.059,1
katiesgotglam,beauty,0.039,1
aurasmakeupbox,beauty,0.032,0
naturalhairrebel,beauty,0.033,0
ffigs,beauty,0.03,1
sifascorner,beauty,0.086,0
kathynunezhair,beauty,0.014,0
essentiallysammie,beauty,0.064,1
flukeofmakeup,beauty,0.053,0
whambamglam247,beauty,0.037,0
poppysalonmn,beauty,0.025,0
kat.rist,beauty,0.063,1
deejabthestylist_,beauty,0.019,1
realritalynn,beauty,0.125,0
raisabercede,beauty,0.016,1
ainamarieh,beauty,0.028,0
lolalynnmitchell,beauty,0.057,1
cachosestilososbrasil,beauty,0.063,1
erinscottbeauty,beauty,0.056,0
luferraes,beauty,0.063,0
taniellemua,beauty,0.047,0
catchingkerosene,beauty,0.011,0
krissykakess,beauty,0.052,0
ronniieangelique,beauty,0.065,0
kelzyness,beauty,0.06,1
lisatuff_tilu,beauty,0.047,0
curlyniquenique,beauty,0.068,0
_artacha,beauty,0.014,1
yellabambi,beauty,0.038,1
eucamillagomes,beauty,0.063,0
camidelrey143,beauty,0.064,1
4everestherr,beauty,0.043,0
ldelabios,beauty,0.023,0
tierrajbeauty,beauty,0.033,1
firstladyshanta,beauty,0.058,1
_trishamarieditton_,beauty,0.072,1
summerd.beauty,beauty,0.033,1
rowisingh,beauty,0.049,0
thetaylorcherie,beauty,0.065,1
melissaq007,beauty,0.043,0
smileyque,beauty,0.04,0
nahiomitv,beauty,0.052,0
jadescarbor,beauty,0.049,1
fmk.k,beauty,0.054,1
_beautykath_,beauty,0.051,1
makeup_by_sarahk,beauty,0.056,1
kinks2curls,beauty,0.045,0
mariahlleonard,beauty,0.054,1
fashionablydesired,beauty,0.012,1
beautygabu,beauty,0.059,1
hailiebarber,beauty,0.041,0
maddiejbeauty,beauty,0.048,1
nena,beauty,0.01,1
carolkyoko,beauty,0.038,0
keeksta89,beauty,0.032,0
africanhairsummit,beauty,0.059,1
valerievixenmua,beauty,0.021,1
debora.eudoracosmeticos,beauty,0.053,0
ryankellymua,beauty,0.012,1
diesel_minnie,beauty,0.043,0
gkccouture_,beauty,0.04,0
keemme_,beauty,0.015,1
nudelipdiaries,beauty,0.061,0
cassie_ohsoclassic,beauty,0.012,1
taylorrosemagic,beauty,0.042,0
redlipsreview,beauty,0.021,0
jessicalee.3,beauty,0.056,0
onabeautybender,beauty,0.018,1
ceicaprofissionais,beauty,0.047,0
emilycottontop,beauty,0.068,1
whitneyann_romeo,beauty,0.059,0
strawberriredd,beauty,0.018,0
kammmmmi_,beauty,0.068,0
carobouvette,beauty,0.018,1
shearfaithsalonboutique,beauty,0.057,0
hernandes_vaz,beauty,0.015,0
armaniamor,beauty,0.031,1
calireviewingmama,beauty,0.046,0
itsisabelbedoya,beauty,0.039,1
voodoobarbiedoll,beauty,0.032,1
itsmyrayeraye,beauty,0.043,0
exteriorglam,beauty,0.011,0
smilesciences,beauty,0.026,0
thatbaileygal,beauty,0.017,1
sarahlovsmakeup,beauty,0.03,1
amanda.benko,beauty,0.07,0
ashleericemakeup,beauty,0.144,1
liza_lash,beauty,0.014,1
feliciagross,beauty,0.028,1
badassnugget,beauty,0.044,0
janet_amrani,beauty,0.07,1
smilesciencesstreetteam,beauty,0.025,1
gnomichi,beauty,0.018,0
nikkibeautybliss,beauty,0.068,0
mirapatelll,beauty,0.057,0
manal,beauty,0.027,1
thecutlife,beauty,0.028,0
sharifaeasmin,beauty,0.025,0
sharpfade,beauty,0.014,0
just_kinzy,beauty,0.021,1
bonimakeup,beauty,0.042,0
la_reine_de_lion,beauty,0.044,1
hairbyalyssarae_,beauty,0.044,1
mystyleboxx,beauty,0.055,1
sashaamalik,beauty,0.064,1
araxjan,beauty,0.017,0
imadamejay,beauty,0.066,1
lyubilyubov,beauty,0.046,1
imgloriaann,beauty,0.05,0
actually_ashly,beauty,0.011,1
thiessita,beauty,0.011,1
vicious_shorty,beauty,0.056,0
jackiewyers,beauty,0.045,1
ilansandra_soglam,beauty,0.057,0
tophair_com,beauty,0.059,1
kimchi_chic,beauty,0.023,1
byrdiebeauty,beauty,0.042,1
melissamat_,beauty,0.026,0
beautysnoop,beauty,0.026,1
rohartt,beauty,0.024,0
christendominique,beauty,0.02,1
mimles,beauty,0.01,1
kelseyrae_mua,beauty,0.038,0
jadeandbeauty,beauty,0.146,0
voiceofhair,beauty,0.068,1
oliviaweirsthings,beauty,0.023,0
jestar1,beauty,0.026,0
k_moniquebeauty,beauty,0.026,1
amysmakeupbox,beauty,0.017,1
lyssamariexo,beauty,0.139,0
lovedaphney,beauty,0.061,1
logicalharmony,beauty,0.042,1
zoeymusic777,beauty,0.066,1
thegoldlash,beauty,0.047,1
krishkreations,beauty,0.02,1
creatingvisionsmua,beauty,0.068,1
robsongrl,beauty,0.036,0
harajuku.nyc,beauty,0.055,1
hayley_bui,beauty,0.039,1
fatimadurni,beauty,0.038,1
iamgmoust,beauty,0.06,0
danagagliotti,beauty,0.066,1
mztarabelle,beauty,0.012,0
glamourartbytoya,beauty,0.011,1
oliviacg,beauty,0.017,0
isognidellaele,beauty,0.083,1
jessie_maya_,beauty,0.05,0
jessiesoffi,beauty,0.047,1
cosmocalista,beauty,0.02,1
surrealhairsalon,beauty,0.032,0
baharehrezaei_,beauty,0.067,0
beautebynat,beauty,0.107,0
comportadissimas,beauty,0.063,1
makeupmysmile,beauty,0.018,0
hairbyjkidd,beauty,0.039,1
killyps0,beauty,0.061,1
tanejasbride,beauty,0.05,0
_chellita,beauty,0.059,1
rthediva723,beauty,0.059,1
natshaw_xx,beauty,0.055,0
myusernameisnatasha,beauty,0.017,0
lojaviciopiresdorio,beauty,0.026,1
daniellerenaee,beauty,0.017,1
luciacastells,beauty,0.058,1
monpetitparadiisbyarmelle,beauty,0.047,0
euvouderosa,beauty,0.06,1
bylaumk,beauty,0.048,1
juhfashion,beauty,0.061,0
chloemorello,beauty,0.037,0
amandawarrenhair,beauty,0.061,0
entrelabialesypigmentos,beauty,0.054,1
itslesliealvarado,beauty,0.135,0
nyckiec,beauty,0.048,0
beautystylelist,beauty,0.05,0
nikolhess,beauty,0.028,1
iluvsarahii,beauty,0.018,0
nattycastelano,beauty,0.019,1
crambert,beauty,0.057,1
splitwhit,beauty,0.061,0
myiimua,beauty,0.018,0
beigeojai,beauty,0.06,1
nicoleeecutler,beauty,0.014,0
flormarcz,beauty,0.059,1
itseriikaamp,beauty,0.055,0
mariiacanoa,beauty,0.051,1
tammy.mue.77,beauty,0.062,1
freshlengths,beauty,0.057,0
katazee,beauty,0.067,1
lujainglam,beauty,0.059,1
ourfazinali,beauty,0.016,1
epens,beauty,0.055,0
mirandalane_misstx,beauty,0.032,0
meghanvictoriax,beauty,0.046,0
mayvennbygingertoups,beauty,0.026,0
nicoleguerriero,beauty,0.022,1
loje_loje,beauty,0.083,0
vickyvavoom,beauty,0.037,1
lisette,beauty,0.043,1
frenchysjaxbeachdayspa,beauty,0.025,0
dicasbysandrapinatto,beauty,0.029,1
dianisdelca,beauty,0.062,0
caterina_tonzuso,beauty,0.068,1
whitneymadueke,beauty,0.068,0
chlo909,beauty,0.022,1
minahjjing,beauty,0.043,1
kellydelacreme,beauty,0.115,0
niquelychique,beauty,0.036,1
zhuliana,beauty,0.058,1
manudip74,beauty,0.029,0
sophielucas95,beauty,0.044,0
jaeebeauty,beauty,0.062,1
barbertakeover,beauty,0.067,0
nymatang,beauty,0.036,1
potisaprueba,beauty,0.15,1
_themakeupdoll,beauty,0.055,0
tontaeformosa,beauty,0.012,0
josephharwood,beauty,0.017,0
thebeautyvanity,beauty,0.043,0
lesleydoesmakeup,beauty,0.046,0
spyglamourph,beauty,0.059,0
flawlociety,beauty,0.015,1
tess.daly,beauty,0.106,0
kisumaikuchuuru,beauty,0.037,1
meredithmedical,beauty,0.023,0
michellamalin,beauty,0.036,0
facesbyaimee,beauty,0.069,1
kamilatchara,beauty,0.051,1
taiba_rajab,beauty,0.059,0
fanneydora.com_,beauty,0.058,0
amy.lozy,beauty,0.011,1
thevavoomfactory,beauty,0.059,0
tamiastyles,beauty,0.018,0
emilywolfbeauty,beauty,0.068,1
veenaz_kit,beauty,0.024,0
brittanie_evans,beauty,0.013,1
xanderaogami,beauty,0.037,1
maryrouge86,beauty,0.05,1
celines__,beauty,0.015,1
15minbeauty,beauty,0.021,1
curvin_goddess,beauty,0.039,0
juliadantasbeauty,beauty,0.055,1
hanihanss,beauty,0.047,1
jazznicole,beauty,0.027,1
faithdrew,beauty,0.067,1
missgeorgie_,beauty,0.069,1
kamelashair,beauty,0.062,1
showgirlwigs,beauty,0.035,1
bayareabeautyblogger,beauty,0.029,1
armineisajan,beauty,0.011,1
doseofshay,beauty,0.062,1
breeannbarbie,beauty,0.038,0
beautygala,beauty,0.013,0
hairnbeautydirectory,beauty,0.061,0
alexander.danilov_,beauty,0.054,1
karlibra,beauty,0.025,1
vava_beauty,beauty,0.051,0
jewejewebee,beauty,0.046,0
curlswithcoral,beauty,0.023,1
unswayedbeauty,beauty,0.048,1
happydartist,beauty,0.06,0
zorainsstudio,beauty,0.068,0
arielvscupcake_,beauty,0.022,0
liojaviermua,beauty,0.033,1
tinaszabados,beauty,0.02,0
giuliacova87,beauty,0.069,1
alksne,beauty,0.044,1
pixiwoos,beauty,0.029,0
jordananastasia_,beauty,0.054,0
_geheimnisvoll,beauty,0.052,0
heyratolina,beauty,0.013,1
j.spotstudio,beauty,0.047,0
ra1ning2,beauty,0.026,0
timaloveslemons,beauty,0.135,0
beu_seul2,beauty,0.024,0
ronkeraji,beauty,0.018,0
nyane,beauty,0.053,1
artistrybykelsea,beauty,0.034,1
mikenamiki,beauty,0.032,1
facebymeagan,beauty,0.03,0
jmcdaniel87,beauty,0.069,0
curlbellaa,beauty,0.129,0
bobismakeup,beauty,0.052,1
zahra_beautycorner,beauty,0.085,1
eldiariodeheaven,beauty,0.045,0
j.mlx,beauty,0.033,1
ilpiccolomondodivalentina,beauty,0.025,1
cristylelook,beauty,0.053,1
angelwhite79,beauty,0.062,1
mycrazymakeup,beauty,0.043,1
blogdarosane,beauty,0.052,1
lenalovecurls,beauty,0.045,1
airica.michelle,beauty,0.065,1
hiba_tan,beauty,0.025,0
cocoaama,beauty,0.027,1
elblogdemoyra,beauty,0.058,0
beautyecologist,beauty,0.049,0
flutter_lash,beauty,0.02,1
donaspock,beauty,0.047,0
vickyspooky,beauty,0.047,1
sbenayas,beauty,0.026,0
melaninmakeup,beauty,0.024,0
austenmarie,beauty,0.039,1
princessbellaaa,beauty,0.101,0
nadinedasofficial,beauty,0.034,0
uneekchic,beauty,0.056,1
keixwi,beauty,0.032,1
schinkenxoxo,beauty,0.015,1
dobi_makeup,beauty,0.07,0
esselleblaize,beauty,0.023,1
fidyabeauty,beauty,0.033,0
jeonsy,beauty,0.011,0
facepoetry,beauty,0.016,0
eduardapantolfi,beauty,0.046,0
shizenwong,beauty,0.055,0
cynthiadollmua,beauty,0.052,0
paigewwedaily,beauty,0.029,0
xalexandra_26,beauty,0.038,0
yvettepokes,beauty,0.053,1
loegrey,beauty,0.047,0
kristina.angelina,beauty,0.015,1
barbershopconnect,beauty,0.062,0
nanabeautyofficial,beauty,0.044,1
miss_courtneyellisjones,beauty,0.046,0
lulustone_,beauty,0.05,0
rosie.80,beauty,0.054,1
monicastylemuse,beauty,0.043,1
themandibaca,beauty,0.012,0
tessdoescolor,beauty,0.033,1
rebecacalhau,beauty,0.047,1
hyunnim_b,beauty,0.042,1
terrymakeuptutorials,beauty,0.029,0
curlyfitvegan,beauty,0.063,1
amandasperoni,beauty,0.058,1
elena_280614,beauty,0.046,1
theladeedanger,beauty,0.067,1
tashasilvestre,beauty,0.051,1
quisqve,beauty,0.068,0
laurapolko,beauty,0.054,1
facebynikki,beauty,0.104,0
jaazzmary,beauty,0.012,0
anngelina__,beauty,0.025,1
gabriellecroix,beauty,0.052,0
thebrilliantbeauty,beauty,0.068,0
kristtyleeann,beauty,0.065,1
makeupbynadoosh,beauty,0.016,0
nabilahhmakeup,beauty,0.048,1
captivating_cia,beauty,0.036,0
eutodemake,beauty,0.064,1
nailsweden,beauty,0.047,0
gabrielamotah,beauty,0.058,0
jodiemcd4,beauty,0.019,0
keishacharmaine,beauty,0.108,1
jamiemakeup,beauty,0.044,1
alifeofclarity,beauty,0.016,0
blushingnoir,beauty,0.062,0
me_caro_lin,beauty,0.072,0
